year,country_name,hdi_category,indicator_name,references,values
,Lithuania,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"14,494"
,Estonia,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"15,478"
,Latvia,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"13,646"
,Uruguay,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"9,962"
,Croatia,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"13,042"
,Costa Rica,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"10,180"
,Bahamas,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,e,"18,380"
,Seychelles,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"16,106"
,Cuba,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,..
,Mexico,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"10,751"
,Bulgaria,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"9,032"
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"13,307"
,Tonga,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"8,177"
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,..
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"12,500"
,Oman,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,c,"15,602"
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"14,603"
,Romania,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"9,060"
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"15,711"
,Panama,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,605"
,Malaysia,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"10,882"
,Belarus,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,918"
,Mauritius,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"12,715"
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,..
,Russian Federation,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"10,845"
,Albania,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"5,316"
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,200"
,Brazil,HIGH HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"8,402"
,Dominica,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"6,393"
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"6,707"
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,857"
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"6,632"
,Colombia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,304"
,Ukraine,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"6,848"
,Samoa,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"6,170"
,Thailand,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"8,677"
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"8,217"
,Belize,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,109"
,China,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"6,757"
,Grenada,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,843"
,Armenia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"4,945"
,Turkey,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"8,407"
,Suriname,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,722"
,Jordan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"5,530"
,Peru,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"6,039"
,Lebanon,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"5,584"
,Ecuador,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"4,341"
,Philippines,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"5,137"
,Tunisia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"8,371"
,Fiji,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"6,049"
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"6,568"
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,968"
,Paraguay,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"4,642"
,Georgia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"3,365"
,Guyana,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"4,508"
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"5,016"
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"4,595"
,Maldives,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,..
,Jamaica,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"4,291"
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"5,803"
,El Salvador,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"5,255"
,Algeria,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,062"
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"3,071"
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,..
,Indonesia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"3,843"
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"3,808"
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"3,838"
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"3,674"
,Moldova,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,100"
,Egypt,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"4,337"
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,063"
,Mongolia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,107"
,Honduras,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"3,430"
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,927"
,Bolivia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,819"
,Guatemala,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"4,568"
,Gabon,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"6,954"
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"3,225"
,South Africa,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"11,110"
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,356"
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,178"
,Botswana,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"12,387"
,Namibia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,586"
,Morocco,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"4,555"
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"7,874"
,India,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"3,452"
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,031"
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,039"
,Cambodia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,727"
,Myanmar,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,..
,Bhutan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,..
,Comoros,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,993"
,Ghana,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,480"
,Pakistan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,370"
,Mauritania,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,234"
,Lesotho,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"3,335"
,Congo,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,262"
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,053"
,Swaziland,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"4,824"
,Nepal,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,550"
,Madagascar,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,923
,Cameroon,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,299"
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,563"
,Haiti,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,663"
,Sudan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,083"
,Kenya,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,240"
,Djibouti,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,178"
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,..
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,038"
,Togo,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,506"
,Yemen,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,930
,Uganda,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,454"
,Gambia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,921"
,Senegal,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,792"
,Eritrea,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,109"
,Nigeria,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,128"
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,744
,Guinea,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,316"
,Rwanda,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,206"
,Angola,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"2,335"
,Benin,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,141"
,Malawi,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,667
,Zambia,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,023"
,Côte d'Ivoire,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,648"
,Burundi,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,699
,Congo (Democratic Republic of the),LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,714
,Ethiopia,LOW HUMAN DEVELOPMENT,GDP per capita - 2005 PPP dollar US 2005,,"1,055"
,Chad,,GDP per capita - 2005 PPP dollar US 2005,,"1,427"
,Central African Republic,,GDP per capita - 2005 PPP dollar US 2005,,"1,224"
,Mozambique,,GDP per capita - 2005 PPP dollar US 2005,,"1,242"
,Mali,,GDP per capita - 2005 PPP dollar US 2005,,"1,033"
,Niger,,GDP per capita - 2005 PPP dollar US 2005,,781
,Guinea-Bissau,,GDP per capita - 2005 PPP dollar US 2005,,827
,Burkina Faso,,GDP per capita - 2005 PPP dollar US 2005,,"1,213"
,Sierra Leone,,GDP per capita - 2005 PPP dollar US 2005,,806
,Iceland,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.8
,Norway,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.6
,Australia,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.0
,Canada,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.6
,Ireland,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,4.5
,Sweden,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.6
,Switzerland,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.0
,Japan,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.2
,Netherlands,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.8
,France,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.8
,Finland,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.0
,United States,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.0
,Spain,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.3
,Denmark,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.7
,Austria,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.1
,United Kingdom,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.2
,Belgium,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.9
,Luxembourg,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.8
,New Zealand,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.1
,Italy,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.0
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,4.2
,Germany,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.0
,Israel,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.8
,Greece,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.3
,Singapore,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,4.7
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,6.0
,Slovenia,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.2
,Cyprus,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,c,4.0
,Portugal,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.7
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-1.9
,Barbados,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.3
,Czech Republic,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.9
,Kuwait,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-0.5
,Malta,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,4.1
,Qatar,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,..
,Hungary,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.3
,Poland,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,4.3
,Argentina,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.3
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-2.6
,Chile,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.9
,Bahrain,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.5
,Slovakia,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.0
,Lithuania,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.9
,Estonia,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.1
,Latvia,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.6
,Uruguay,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.1
,Croatia,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.6
,Costa Rica,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.5
,Bahamas,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,e,1.3
,Seychelles,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.6
,Cuba,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,..
,Mexico,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.0
,Bulgaria,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.7
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,4.9
,Tonga,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.8
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.5
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.7
,Oman,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,c,2.4
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.6
,Romania,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-0.3
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-2.0
,Panama,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.0
,Malaysia,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.9
,Belarus,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.2
,Mauritius,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,4.4
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,..
,Russian Federation,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-0.7
,Albania,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.9
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-0.1
,Brazil,HIGH HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.7
,Dominica,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.1
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.6
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.0
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-1.0
,Colombia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.4
,Ukraine,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-3.8
,Samoa,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.4
,Thailand,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,4.9
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.1
,Belize,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.1
,China,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,8.4
,Grenada,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.4
,Armenia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,4.4
,Turkey,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.8
,Suriname,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-0.5
,Jordan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.5
,Peru,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-0.3
,Lebanon,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.2
,Ecuador,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.3
,Philippines,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.4
,Tunisia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.3
,Fiji,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.9
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.2
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-0.2
,Paraguay,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.5
,Georgia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-3.9
,Guyana,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.9
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,(.)
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.2
,Maldives,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,..
,Jamaica,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.0
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.9
,El Salvador,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.3
,Algeria,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.1
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,5.2
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,..
,Indonesia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,3.9
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,0.9
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,..
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-2.1
,Moldova,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-4.4
,Egypt,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,2.8
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,-0.4
,Mongolia,MEDIUM HUMAN DEVELOPMENT,GDP per capita - Annual growth rate(percent) 1975-2005,,1.2
